                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.92269,                0.41184,                 1.2404,                0.97125,                0.97764,                0.99313,                0.77152,                0.84533,                0.32168,                 1.3342,              0.0013763,              0.0013763,              0.0013763
                     66,                0.92941,                 0.4023,                 1.2513,                0.98065,                0.97685,                0.99336,                0.76358,                0.84054,                0.33125,                 1.3059,              0.0013664,              0.0013664,              0.0013664
                     67,                0.94519,                0.41379,                 1.2442,                0.97357,                0.98069,                0.99374,                0.75646,                0.88031,                0.33243,                 1.3588,              0.0013565,              0.0013565,              0.0013565
                     68,                0.92543,                0.40092,                 1.2426,                0.98155,                0.98512,                 0.9941,                0.76953,                0.83684,                0.31886,                 1.3206,              0.0013466,              0.0013466,              0.0013466
                     69,                0.92018,                0.40031,                 1.2577,                 0.9892,                0.95433,                0.99228,                0.76207,                0.89425,                0.33321,                 1.3866,              0.0013367,              0.0013367,              0.0013367
                     70,                0.92656,                0.40132,                 1.2476,                0.97415,                0.98843,                0.99383,                0.76771,                0.85026,                0.32368,                  1.341,              0.0013268,              0.0013268,              0.0013268
                     71,                0.93726,                0.40432,                 1.2551,                0.97053,                0.99115,                0.99362,                0.75463,                0.86964,                0.32534,                 1.3537,              0.0013169,              0.0013169,              0.0013169
                     72,                0.93608,                 0.4017,                 1.2356,                0.98664,                0.98148,                0.99372,                0.77022,                0.86306,                0.32506,                  1.333,               0.001307,               0.001307,               0.001307
                     73,                0.92014,                0.40871,                 1.2427,                0.97285,                0.98611,                0.99326,                0.76967,                0.85708,                0.32496,                 1.3317,              0.0012971,              0.0012971,              0.0012971
                     74,                0.90369,                 0.3918,                 1.2304,                0.98043,                0.98561,                 0.9941,                0.76361,                0.87782,                0.32194,                 1.3559,              0.0012872,              0.0012872,              0.0012872
                     75,                0.92434,                0.40573,                 1.2539,                0.99145,                0.97454,                0.99372,                0.75069,                0.93125,                0.33002,                 1.4452,              0.0012773,              0.0012773,              0.0012773
                     76,                0.92285,                0.40555,                 1.2448,                0.98953,                0.98465,                0.99424,                0.77278,                0.84749,                0.31189,                 1.3371,              0.0012674,              0.0012674,              0.0012674
                     77,                0.91539,                0.39821,                 1.2558,                0.98956,                0.98722,                0.99364,                0.76805,                0.85864,                0.31733,                 1.3516,              0.0012575,              0.0012575,              0.0012575
                     78,                0.91992,                0.39961,                 1.2407,                0.98269,                0.98571,                0.99402,                0.77047,                0.85395,                0.32667,                 1.3432,              0.0012476,              0.0012476,              0.0012476
                     79,                0.92362,                0.40491,                  1.256,                0.97809,                0.98165,                0.99329,                 0.7591,                0.86784,                 0.3219,                 1.3686,              0.0012377,              0.0012377,              0.0012377
                     80,                 0.9103,                0.39577,                 1.2316,                0.97797,                 0.9838,                0.99325,                0.76019,                0.85806,                0.32014,                 1.3426,              0.0012278,              0.0012278,              0.0012278
                     81,                0.91621,                0.39623,                 1.2427,                0.98311,                0.98032,                0.99384,                0.77031,                0.85396,                0.31479,                 1.3351,              0.0012179,              0.0012179,              0.0012179
                     82,                0.89848,                0.38859,                 1.2358,                0.96987,                 0.9838,                0.99346,                0.76266,                 0.8544,                0.32398,                 1.3344,               0.001208,               0.001208,               0.001208
                     83,                 0.9052,                0.38663,                 1.2268,                 0.9827,                0.99074,                0.99409,                0.77049,                0.84949,                0.30605,                 1.3418,              0.0011981,              0.0011981,              0.0011981
